district,min_x,max_x,min_y,max_y,mask_height_now,mask_width_now,dt_code_plus,latitude_top_left,longitude_top_left,latitude_bottom_right,longitude_bottom_right,latin,dt_code
疏附县,46475,46603,24886,25056,171,129,653121,39.68182601089364,75.2947998,38.95513722542956,76.00341797,shufuxian,653100
广河县,51589,51674,25817,25895,79,86,622924,35.634976650677295,103.3868408203125,35.28150065789119,103.8592529296875,guanghexian,622900
丹凤县,52818,52941,26190,26319,130,124,611022,33.952473606162826,110.1379395,33.35806161277886,110.8190918,danfengxian,611000
西乡县,52295,52472,26347,26499,153,178,610724,33.23409295522519,107.2650146484375,32.52828936482526,108.2427978515625,xixiangxian,610700
江孜县,48994,49193,27199,27356,158,200,540222,29.23368367028278,89.13208008,28.47352011,90.23071289,jiangzixian,540200
红河县,51304,51448,28378,28446,69,145,532529,23.433009077420355,101.8212891,23.084785159943728,102.6177978515625,honghexian,532500
荔波县,52361,52484,27935,28041,107,124,522722,25.64647846279614,107.6275634765625,25.115445397061947,108.3087158203125,liboxian,522700
临泉县,53681,53798,26364,26489,126,118,341221,33.15594830078649,114.8785400390625,32.574591721134176,115.5267333984375,linquanxian,341200
靖宇县,55798,55937,24119,24302,184,140,220622,42.84777884235987,126.5075684,42.10229818948117,127.2766113,jingyuxian,220600
灵丘县,53502,53624,24892,25035,144,123,140224,39.66068502219228,113.8897705078125,39.04478604850142,114.5709228515625,lingqiuxian,140200